"owner","field","file","occurrences"
"course","approved_at",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"course","course_id",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"course","created_at",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"course","gross_revenue",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"course","id",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"course","instructor_name",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"course","published_at",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"course","sales_count",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"course","status",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","4"
"course","title",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","4"
"data","dashboard",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","3"
"data","items",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"data","revenue_report",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"data","top_courses",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"data","top_instructors",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","badgeClass",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","borderClass",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","btnClass",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","btnText",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","className",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"item","count",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"item","date",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","desc",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","gross_amount",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","innerHTML",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"item","instructor_amount",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","link",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","platform_fee_amount",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"item","title",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"order","amount",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"order","course",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","4"
"order","id",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"order","learner_name",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"order","paid_at",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"order","status",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"order","user",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"revenue","gross_amount",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"revenue","instructor_amount",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
