"control_type","id","name","input_type","data_action","text","placeholder","file","line"
"button","","","button","","7 ngày qua","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","55"
"button","","","button","","30 ngày qua","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","62"
"button","","","button","","Tháng này","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","69"
"button","","","button","","Năm nay","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","76"
"button","","","button","","Tùy chọn","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","83"
"input","custom-date-from","","date","","","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","96"
"input","custom-date-to","","date","","","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","103"
"button","apply-custom-date","","button","","Lọc","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","109"
"button","close-custom-date","","button","","","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","116"
"button","tab-btn-orders","","button","","Đơn hàng","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","617"
"button","tab-btn-courses","","button","","Khóa học","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","624"
"button","btn-test-toast-success","","button","","Thử Success","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","663"
"button","btn-test-toast-error","","button","","Thử Error","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","670"
"button","btn-test-toast-warning","","button","","Thử Warning","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","677"
"button","btn-test-toast-info","","button","","Thử Info","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","684"
"button","","","button","","Thử lại","",".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","832"
"button","","","button","","","","components/sidebar.html","16"
"button","","","button","","","","components/topbar.html","6"
"button","","","button","","","","components/topbar.html","34"
"button","admin-profile-trigger","","button","","AD Administrator","","components/topbar.html","45"
"button","","","button","","","","pages/banners.html","31"
"button","sidebar-collapse-toggle","","button","","","","pages/banners.html","210"
"button","","","button","","Menu","","pages/banners.html","220"
"button","","","button","","","","pages/categories.html","26"
"button","sidebar-collapse-toggle","","button","","","","pages/categories.html","205"
"button","btn-add-category","","button","","Thêm danh mục","","pages/categories.html","228"
"form","filter-form","","","","","","pages/categories.html","331"
"input","filter-search","search","text","","","Tên hoặc slug danh mục...","pages/categories.html","337"
"select","filter-status","status","","","","","pages/categories.html","346"
"select","filter-type","type","","","","","pages/categories.html","356"
"select","filter-parent","parent_id","","","","","pages/categories.html","365"
"select","filter-sort","sort_by","","","","","pages/categories.html","373"
"button","btn-reset-filters","","button","","Đặt lại bộ lọc","","pages/categories.html","389"
"button","btn-refresh-list","","button","","","","pages/categories.html","411"
"button","btn-empty-create","","button","","Tạo danh mục","","pages/categories.html","462"
"button","btn-filter-reset","","button","","Đặt lại bộ lọc","","pages/categories.html","478"
"button","btn-retry-load","","button","","Thử lại","","pages/categories.html","494"
"select","pag-per-page","","","","","","pages/categories.html","506"
"button","btn-pag-prev","","button","","","","pages/categories.html","516"
"button","btn-pag-next","","button","","","","pages/categories.html","524"
"button","","","button","","","","pages/categories.html","541"
"form","create-category-form","","","","","","pages/categories.html","549"
"input","create-name","name","text","","","Ví dụ: Lập trình di động","pages/categories.html","553"
"button","btn-generate-slug-create","","button","","Tự động sinh slug","","pages/categories.html","560"
"input","create-slug","slug","text","","","Ví dụ: lap-trinh-di-dong","pages/categories.html","562"
