"module","method","endpoint","referenced_fe","references"
"ADM-01 Dashboard","GET","/api/admin/dashboard","False",""
"ADM-02 Users","GET","/api/admin/users","True","assets/js/api/users-api.js:5"
"ADM-02 Users","POST","/api/admin/users","True","assets/js/api/users-api.js:5"
"ADM-02 Users","GET","/api/admin/users/{id}","False",""
"ADM-02 Users","PATCH","/api/admin/users/{id}","False",""
"ADM-02 Users","DELETE","/api/admin/users/{id}","False",""
"ADM-03 Instructor upgrades","GET","/api/admin/instructor-upgrade-requests","True","assets/js/api/instructor-upgrades-api.js:9"
"ADM-03 Instructor upgrades","GET","/api/admin/instructor-upgrade-requests/{id}","False",""
"ADM-03 Instructor upgrades","PATCH","/api/admin/instructor-upgrade-requests/{id}/approve","False",""
"ADM-03 Instructor upgrades","PATCH","/api/admin/instructor-upgrade-requests/{id}/reject","False",""
"ADM-04 Courses","GET","/api/admin/courses","True","assets/js/api/courses-api.js:5"
"ADM-04 Courses","GET","/api/admin/courses/{id}","False",""
"ADM-04 Courses","PATCH","/api/admin/courses/{id}","False",""
"ADM-05 Course reviews","GET","/api/admin/course-reviews","False",""
"ADM-05 Course reviews","GET","/api/admin/course-reviews/{id}","False",""
"ADM-05 Course reviews","PATCH","/api/admin/courses/{id}/approve","False",""
"ADM-05 Course reviews","PATCH","/api/admin/courses/{id}/reject","False",""
"ADM-06 Categories","GET","/api/admin/categories","True","assets/js/api/categories-api.js:19"
"ADM-06 Categories","POST","/api/admin/categories","True","assets/js/api/categories-api.js:19"
"ADM-06 Categories","GET","/api/admin/categories/{id}","False",""
"ADM-06 Categories","PATCH","/api/admin/categories/{id}","False",""
"ADM-06 Categories","DELETE","/api/admin/categories/{id}","False",""
"ADM-07 Orders","GET","/api/admin/orders","False",""
"ADM-07 Orders","GET","/api/admin/orders/{id}","False",""
"ADM-08 Revenues","GET","/api/admin/revenues","False",""
"ADM-08 Revenues","GET","/api/admin/revenues/{id}","False",""
"ADM-09 Withdrawals","GET","/api/admin/withdrawals","False",""
"ADM-09 Withdrawals","GET","/api/admin/withdrawals/{id}","False",""
"ADM-09 Withdrawals","PATCH","/api/admin/withdrawals/{id}/approve","False",""
"ADM-09 Withdrawals","PATCH","/api/admin/withdrawals/{id}/reject","False",""
"ADM-09 Withdrawals","PATCH","/api/admin/withdrawals/{id}/mark-paid","False",""
"ADM-10 Payout accounts","GET","/api/admin/payout-accounts","False",""
"ADM-10 Payout accounts","GET","/api/admin/payout-accounts/{id}","False",""
"ADM-10 Payout accounts","PATCH","/api/admin/payout-accounts/{id}/approve","False",""
"ADM-10 Payout accounts","PATCH","/api/admin/payout-accounts/{id}/reject","False",""
"ADM-10 Payout accounts","PATCH","/api/admin/payout-accounts/{id}/disable","False",""
"ADM-11 Moderation","GET","/api/admin/moderation/items","False",""
"ADM-11 Moderation","GET","/api/admin/moderation/items/{id}/{id}","False",""
"ADM-11 Moderation","PATCH","/api/admin/moderation/items/{id}","False",""
"ADM-12 Reports","GET","/api/admin/reports/revenue","False",""
"ADM-12 Reports","GET","/api/admin/reports/top-courses","False",""
"ADM-12 Reports","GET","/api/admin/reports/instructors","False",""
"ADM-13 Banners","GET","/api/admin/banners","False",""
"ADM-13 Banners","POST","/api/admin/banners","False",""
"ADM-13 Banners","GET","/api/admin/banners/{id}","False",""
"ADM-13 Banners","PATCH","/api/admin/banners/{id}","False",""
"ADM-13 Banners","DELETE","/api/admin/banners/{id}","False",""
"ADM-14 FAQs","GET","/api/admin/faqs","False",""
"ADM-14 FAQs","POST","/api/admin/faqs","False",""
"ADM-14 FAQs","GET","/api/admin/faqs/{id}","False",""
"ADM-14 FAQs","PATCH","/api/admin/faqs/{id}","False",""
"ADM-14 FAQs","DELETE","/api/admin/faqs/{id}","False",""
"ADM-14 FAQs","PATCH","/api/admin/faqs/{id}/courses","False",""
"SYS-01 Notifications","GET","/api/admin/notifications","False",""
"SYS-01 Notifications","GET","/api/admin/notifications/unread-count","False",""
"SYS-01 Notifications","PATCH","/api/admin/notifications/{id}/read","False",""
"SYS-01 Notifications","PATCH","/api/admin/notifications/read-all","False",""
